"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Afreeca Freecs",6,2,4,28.2,54,111,0.49,0.98,-1.32,"-12.1%",32.7,7.3,-1735,"17%","17%","33%","25%","33%","30%",,"33%","33%","49.4%","48.2%",3.02,1.24,1.74
"DAMWON Gaming",3,3,0,33.1,54,21,2.57,0.76,1.56,"11.8%",67.9,32.1,1663,"67%","100%","100%","83%","33%","79%",,"100%","75%","47.2%","56.8%",4.16,1.4,1.86
"DRX",8,3,5,31.6,73,132,0.55,0.8,-1.38,"-12.0%",33,-16.4,-1767,"33%","17%","17%","27%","33%","30%",,"17%","45%","51.2%","45.8%",3.62,1.49,1.75
"Gen.G",8,5,3,29,160,83,1.93,1.03,2.38,"17.8%",75.9,4.1,3008,"83%","67%","67%","80%","83%","72%",,"67%","60%","51.0%","53.0%",3.86,1.47,1.79
"T1",3,1,2,30,27,26,1.04,0.59,-0.59,"0.8%",51.7,-18.3,-251,"67%","67%","33%","50%","67%","55%",,"33%","33%","49.5%","49.2%",3.67,1.34,1.41
