"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Shen","Top",2,"14.3%","0.0%","14.3%","50%","100%",2,7,18,2.9,"80.0%","21.9%","0%",-79,-120,-3,8.1,"19.4%",360,"18.9%","17.0%",0.43,0.13
"Sylas","Middle",1,"7.1%","14.3%","21.4%","100%","-",6,3,4,3.3,"76.9%","27.3%","-","-","-","-","-","-","-","-","-","-","-"
"Syndra","Middle",2,"14.3%","0.0%","14.3%","100%","50%",5,2,13,9,"60.0%","16.7%","0%",-469,-301,-8.5,8.6,"23.2%",552,"24.2%","21.3%",0.61,0.13
"Tahm Kench","Support",1,"7.1%","7.1%","14.3%","0%","100%",0,1,4,4,"80.0%","8.3%","0%",254,281,7,1.2,"2.2%",138,"9.3%","7.2%",2.11,0.34
"Thresh","Support",2,"14.3%","7.1%","21.4%","50%","100%",0,7,19,2.7,"76.0%","20.0%","50%",140,-238,3.5,1.6,"4.3%",179,"8.5%","8.3%",1.73,0.79
"Twisted Fate","Middle",4,"28.6%","71.4%","100.0%","75%","75%",8,6,39,7.8,"71.2%","23.1%","25%",473,-139,-3,8.5,"22.9%",409,"20.4%","24.1%",0.5,0.24
"Volibear","Jungle",5,"35.7%","0.0%","64.3%","80%","20%",11,8,32,5.4,"59.7%","16.7%","80%",-301,-479,-8.5,5.3,"12.9%",201,"9.9%","16.8%",0.67,0.4
"Volibear","Top",4,"28.6%","0.0%","64.3%","50%","25%",21,7,16,5.3,"52.1%","15.6%","0%",4,93,0.5,8.2,"24.4%",519,"21.9%","22.4%",0.36,0.23
"Wukong","-",0,"0%","7.1%","7.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Xayah","ADC",1,"7.1%","0.0%","7.1%","0%","100%",2,9,0,0.2,"40.0%","32.1%","0%",-764,-608,-7,6.7,"22.4%",462,"28.1%","20.7%",0.38,0.26
"Zilean","Middle",1,"7.1%","0.0%","7.1%","100%","100%",4,1,11,15,"65.2%","25.0%","0%",327,434,-4,9.2,"23.7%",546,"23.7%","21.3%",0.59,0.24
"Zoe","Middle",3,"21.4%","14.3%","35.7%","67%","33%",4,6,13,2.8,"39.5%","28.6%","100%",447,351,10,8.5,"22.4%",474,"24.0%","20.5%",0.47,0.25
