"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"FunPlus Phoenix",4,1,3,32.1,43,65,0.66,0.84,-0.36,"-2.9%",44.2,-19.2,-806,"75%","50%","0%","25%","50%","44%",,"67%","80%","49.1%","48.3%",3.38,1.58,1.23
"Invictus Gaming",3,0,3,24.9,18,47,0.38,0.87,-2.19,"-10.6%",25.9,-25.9,-1692,"0%","67%","0%","67%","0%","20%",,"0%","0%","49.7%","45.0%",2.76,1.12,0.9
"JD Gaming",9,5,4,34.2,135,125,1.08,0.85,0.38,"1.8%",58.7,-3.1,1052,"78%","67%","67%","44%","44%","53%","33%","44%","50%","50.5%","51.5%",3.31,1.13,1.54
"LGD Gaming",14,7,7,30.8,205,170,1.21,0.87,0.3,"1.2%",54.8,-1,113,"50%","31%","54%","35%","69%","56%",,"58%","50%","49.4%","50.1%",3.07,1.12,1.48
"Suning",10,6,4,32.1,166,156,1.06,1,0.77,"1.8%",59.7,-4.1,1020,"30%","78%","78%","78%","33%","51%","0%","67%","62%","49.9%","52.4%",3.47,1.27,1.42
"Team WE",4,1,3,29.6,28,61,0.46,0.75,-1.17,"-5.5%",40.4,-15.4,-1194,"50%","50%","50%","50%","50%","42%",,"33%","33%","50.1%","46.9%",3.15,1.44,1.46
"Top Esports",8,6,2,33.7,143,110,1.3,0.94,0.41,"4.3%",52.4,22.6,196,"38%","50%","38%","63%","75%","56%","75%","63%","62%","50.7%","51.0%",3.3,1.33,1.86
"Victory Five",8,4,4,31.1,106,110,0.96,0.87,-0.85,"-2.5%",35.9,14.1,-1076,"50%","25%","50%","44%","38%","42%",,"29%","22%","50.4%","48.4%",3.02,1.22,1.61
