"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Sett","Support",2,"6.7%","66.7%","96.7%","0%","100%",3,8,11,1.8,"58.3%","23.5%","50%",40,95,-0.5,1.1,"3.2%",208,"11.1%","10.3%",1.76,0.44
"Skarner","Jungle",2,"6.7%","0.0%","6.7%","0%","100%",0,4,18,4.5,"64.3%","12.5%","0%",-276,89,1,5.3,"15.4%",115,"6.5%","15.2%",1.27,0.6
"Sylas","Middle",2,"6.7%","10.0%","16.7%","50%","50%",12,6,2,2.3,"66.7%","26.1%","0%",-497,34,-8,8.1,"24.6%",574,"29.5%","25.3%",0.37,0.14
"Syndra","Middle",8,"26.7%","10.0%","36.7%","75%","63%",24,20,48,3.6,"58.5%","17.4%","25%",-47,-73,5,8.3,"23.9%",627,"28.9%","21.2%",0.42,0.18
"Tahm Kench","Support",5,"16.7%","43.3%","60.0%","80%","80%",5,15,52,3.8,"62.0%","29.4%","40%",9,-162,-1,1,"2.1%",150,"6.8%","8.5%",1.48,0.21
"Taric","Support",1,"3.3%","0.0%","3.3%","0%","100%",0,3,3,1,"75.0%","25.0%","0%",-492,384,2,1.3,"3.3%",50,"3.8%","8.9%",1.13,0.21
"Thresh","Support",4,"13.3%","16.7%","30.0%","25%","25%",1,10,35,3.6,"61.0%","14.3%","50%",123,112,1.8,1,"2.5%",97,"4.8%","8.9%",1.55,0.39
"Trundle","Jungle",3,"10.0%","3.3%","13.3%","33%","67%",8,9,23,3.4,"75.6%","17.6%","67%",-111,-279,-1.7,4.6,"12.1%",179,"9.3%","16.3%",0.5,0.49
"Twisted Fate","Middle",5,"16.7%","80.0%","96.7%","60%","20%",24,15,31,3.7,"76.4%","25.0%","0%",656,79,3,8.5,"25.0%",441,"22.4%","26.5%",0.17,0.23
"Vayne","ADC",1,"3.3%","0.0%","3.3%","0%","100%",4,4,7,2.8,"73.3%","17.4%","100%",624,258,-10,7.8,"31.5%",538,"23.8%","25.3%",0.47,0.37
"Volibear","Top",2,"6.7%","10.0%","16.7%","0%","100%",4,5,9,2.6,"61.9%","13.2%","0%",254,451,-0.5,7.3,"23.2%",501,"25.7%","22.0%",0.41,0.14
"Wukong","Top",5,"16.7%","3.3%","20.0%","60%","80%",15,19,15,1.6,"48.4%","25.3%","0%",-350,21,-4.3,7.9,"23.7%",339,"17.9%","22.8%",0.25,0.23
"Yuumi","Support",1,"3.3%","3.3%","6.7%","0%","100%",0,4,3,0.8,"100.0%","20.0%","0%",-690,-795,-12,0.3,"0.9%",281,"19.9%","8.5%",1.03,0.21
"Zoe","Middle",16,"53.3%","33.3%","86.7%","50%","19%",58,32,97,4.8,"69.2%","14.8%","25%",-11,74,-1.3,7.6,"22.1%",554,"28.4%","22.1%",0.37,0.21
