"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"INTZ",5,1,4,36.3,53,71,0.75,0.68,-1.29,"-5.2%",29.8,-9.8,-1944,"40%","40%","20%","60%","80%","46%","0%","40%","38%","49.0%","45.7%",3.67,1.36,1.58
"Legacy Esports",8,3,5,31.1,98,114,0.86,0.85,-0.54,"-4.4%",38.1,-0.6,-1163,"25%","38%","38%","63%","38%","33%","100%","50%","67%","47.9%","48.6%",2.99,1.14,1.15
"LGD Gaming",11,8,3,33.2,151,119,1.27,0.74,1.57,"7.5%",70.6,2.1,1512,"91%","73%","91%","64%","45%","55%","33%","64%","53%","51.3%","54.8%",3.32,1.14,1.72
"MAD Lions",10,4,6,33.5,117,164,0.71,0.84,-0.55,"-3.8%",38.9,1.1,-732,"50%","30%","50%","35%","30%","43%",,"30%","40%","50.5%","49.5%",3.27,1.36,1.36
"PSG Talon",5,4,1,32.7,94,36,2.61,0.79,-0.04,"2.6%",46.9,33.1,-316,"40%","40%","40%","50%","60%","70%",,"60%","67%","50.5%","51.8%",3.12,1.23,1.78
"Rainbow7",7,2,5,32.7,76,106,0.72,0.79,-0.94,"-5.4%",44.5,-15.9,-14,"14%","43%","14%","43%","43%","37%","50%","29%","38%","49.4%","46.8%",3.41,1.46,1.59
"SuperMassive Esports",12,5,7,31.5,162,173,0.94,0.89,-0.11,"-2.9%",54.1,-12.4,75,"67%","50%","33%","33%","67%","52%",,"33%","31%","49.8%","49.7%",3.01,1.18,1.16
"Team Liquid",5,4,1,29.8,83,35,2.37,0.79,1.81,"12.2%",73.6,6.4,2760,"40%","60%","80%","60%","60%","68%",,"60%","60%","52.2%","52.4%",2.82,1.15,1.24
"Unicorns Of Love.CIS",8,6,2,31.7,138,106,1.3,0.96,0.94,"8.3%",59.5,15.5,640,"63%","75%","88%","63%","50%","72%","100%","75%","82%","49.9%","53.1%",3.16,1.04,1.48
"V3 Esports",5,1,4,32.2,51,100,0.51,0.94,-1.64,"-10.0%",28.2,-8.2,-1686,"20%","40%","20%","40%","40%","30%",,"20%","29%","49.3%","43.0%",3.26,1.34,1.47
