"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Lillia","Jungle",10,"33.3%","33.3%","66.7%","40%","30%",35,24,62,4,"70.3%","15.3%","30%",128,354,9.1,6.5,"21.1%",385,"22.0%","19.8%",0.33,0.27
"Lucian","Middle",4,"13.3%","46.7%","60.0%","100%","25%",19,5,19,7.6,"55.1%","14.3%","25%",212,29,5.8,9.6,"30.6%",518,"25.8%","26.2%",0.34,0.22
"Lulu","Support",2,"6.7%","3.3%","10.0%","100%","50%",2,2,27,14.5,"72.5%","12.5%","50%",454,-283,-0.5,0.8,"2.0%",113,"5.1%","10.2%",1.73,0.3
"Lux","-",0,"0%","26.7%","26.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Mordekaiser","Top",1,"3.3%","6.7%","10.0%","100%","100%",2,2,7,4.5,"60.0%","40.0%","100%",-322,-343,-19,7.3,"26.1%",327,"20.4%","19.9%",0.35,0.07
"Morgana","Support",2,"6.7%","6.7%","13.3%","0%","100%",0,6,9,1.5,"90.0%","21.4%","50%",301,458,-7.5,0.3,"1.2%",160,"10.8%","8.9%",1.48,0.2
"Nautilus","Support",21,"70.0%","23.3%","93.3%","62%","19%",23,81,213,2.9,"65.6%","27.6%","29%",101,-91,1.1,1,"2.3%",175,"9.0%","8.8%",1.57,0.27
"Neeko","Top",3,"10.0%","0.0%","10.0%","100%","67%",10,7,22,4.6,"52.5%","17.5%","0%",368,443,21,8.7,"28.4%",500,"23.6%","24.0%",0.56,0.11
"Nidalee","Jungle",1,"3.3%","0.0%","3.3%","0%","100%",2,7,5,1,"53.8%","35.0%","0%",-1427,-1799,-37,5.9,"18.6%",350,"11.7%","16.4%",0.45,0.3
"Orianna","Middle",11,"36.7%","33.3%","70.0%","64%","45%",44,25,72,4.6,"64.8%","16.3%","0%",-186,-23,1,9.2,"28.0%",477,"25.1%","24.5%",0.37,0.16
"Ornn","Top",10,"33.3%","13.3%","46.7%","60%","70%",22,32,69,2.8,"56.2%","22.2%","30%",-191,-21,-1.5,6.9,"19.9%",381,"19.7%","18.9%",0.47,0.08
"Pyke","Support",1,"3.3%","0.0%","3.3%","0%","100%",1,5,5,1.2,"54.5%","25.0%","0%",-445,195,0,1.6,"5.6%",183,"7.2%","10.2%",1.27,0.77
"Renekton","Top",4,"13.3%","26.7%","40.0%","50%","25%",9,14,15,1.7,"52.2%","28.0%","50%",417,-200,9,7.3,"24.9%",325,"20.3%","21.4%",0.4,0.13
"Rengar","Top",1,"3.3%","3.3%","6.7%","100%","100%",3,3,6,3,"42.9%","37.5%","0%",-972,-691,-17,6.5,"15.8%",277,"13.9%","16.6%",0.34,0.24
"Sejuani","Jungle",3,"10.0%","16.7%","26.7%","67%","100%",6,10,33,3.9,"75.0%","21.3%","0%",-38,-23,-2.7,5.6,"16.7%",259,"15.4%","17.4%",0.31,0.52
"Senna","ADC",23,"76.7%","6.7%","83.3%","57%","39%",68,45,176,5.4,"75.5%","14.2%","22%",-124,-20,-1.7,7.7,"24.2%",452,"23.7%","23.7%",0.38,0.27
"Sett","Jungle",12,"40.0%","36.7%","76.7%","50%","33%",31,31,77,3.5,"57.4%","18.7%","17%",-317,-423,-11.7,5,"14.2%",232,"11.3%","15.6%",0.38,0.43
"Shen","Jungle",1,"3.3%","46.7%","80.0%","100%","0%",5,2,17,11,"73.3%","8.7%","0%",678,680,6,5.8,"17.5%",250,"9.9%","18.9%",0.24,0.42
"Shen","Support",1,"3.3%","46.7%","80.0%","0%","100%",5,5,10,3,"68.2%","20.0%","0%",-382,-856,-7,1,"2.7%",151,"6.8%","11.2%",1.8,0.49
"Shen","Top",8,"26.7%","46.7%","80.0%","38%","25%",15,24,46,2.5,"66.3%","22.2%","13%",-87,45,-3,7,"22.9%",277,"15.8%","19.9%",0.38,0.14
"Sion","Top",4,"13.3%","6.7%","20.0%","100%","100%",15,11,23,3.5,"52.8%","25.6%","25%",265,269,8.3,7.7,"24.6%",408,"19.2%","21.8%",0.52,0.23
"Skarner","Jungle",1,"3.3%","3.3%","6.7%","0%","100%",0,4,1,0.3,"20.0%","26.7%","0%",-474,-96,-1,4.7,"13.1%",116,"9.0%","14.5%",0.28,0.21
"Sylas","Middle",1,"3.3%","0.0%","3.3%","100%","100%",9,3,5,4.7,"70.0%","27.3%","0%",-1318,-1039,-20,8.3,"26.1%",760,"35.1%","26.1%",0.45,0.07
"Syndra","Middle",6,"20.0%","10.0%","30.0%","67%","100%",29,13,38,5.2,"68.4%","17.6%","50%",308,420,12,8.9,"27.1%",608,"28.9%","25.2%",0.41,0.14
"Tahm Kench","Support",4,"13.3%","13.3%","26.7%","75%","75%",3,11,30,3,"45.8%","21.2%","25%",-99,165,-1.3,1,"2.1%",134,"6.5%","8.6%",1.27,0.19
"Taric","Support",3,"10.0%","10.0%","20.0%","67%","67%",1,7,36,5.3,"84.1%","22.6%","0%",-91,190,1.3,1.2,"3.5%",99,"5.1%","10.6%",1.63,0.31
"Thresh","Support",8,"26.7%","56.7%","83.3%","63%","38%",9,26,51,2.3,"56.1%","24.3%","25%",-113,-61,0.3,1,"1.9%",125,"7.3%","9.7%",1.52,0.27
"Trundle","-",0,"0%","3.3%","3.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Twisted Fate","Middle",3,"10.0%","6.7%","16.7%","0%","100%",4,10,14,1.8,"69.2%","20.8%","0%",123,-183,-10.3,8.5,"27.5%",377,"21.4%","26.0%",0.4,0.09
"Urgot","Top",1,"3.3%","0.0%","3.3%","100%","100%",4,4,2,1.5,"37.5%","66.7%","0%",72,10,0,7.1,"23.2%",421,"25.7%","20.2%",0.54,0.39
"Vladimir","Top",2,"6.7%","3.3%","10.0%","100%","100%",8,3,16,8,"54.5%","12.5%","0%",158,78,0,9.1,"26.5%",670,"27.8%","23.5%",0.44,0.08
"Volibear","Jungle",2,"6.7%","0.0%","10.0%","50%","100%",4,4,17,5.3,"84.0%","20.0%","0%",-246,-242,0.5,5,"13.4%",194,"10.5%","16.3%",0.42,0.2
"Volibear","Top",1,"3.3%","0.0%","10.0%","0%","0%",0,3,2,0.7,"100.0%","25.0%","0%",-975,-199,-23,5.4,"21.3%",221,"17.8%","17.1%",0.36,0.12
"Yuumi","Support",2,"6.7%","13.3%","20.0%","0%","0%",0,4,11,2.8,"78.6%","10.3%","0%",-299,455,-4.5,0.3,"1.2%",167,"9.4%","7.5%",1.48,0.15
"Ziggs","Middle",2,"6.7%","0.0%","6.7%","0%","50%",0,4,5,1.3,"50.0%","14.3%","0%",-746,-806,-15,9,"28.8%",438,"30.7%","24.4%",0.34,0.07
"Zilean","Top",1,"3.3%","0.0%","3.3%","0%","0%",0,4,7,1.8,"63.6%","20.0%","0%",-116,-50,-11,6.1,"18.6%",411,"16.3%","15.6%",0.65,0.1
"Zoe","Middle",3,"10.0%","26.7%","36.7%","67%","0%",15,7,20,5,"81.4%","17.1%","33%",-208,-184,-2.3,8.2,"22.7%",721,"33.0%","23.6%",0.38,0.11
