"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"FC Schalke 04 Esports",7,4,3,30.8,98,88,1.11,0.86,-0.16,"-0.2%",46.5,10.7,-177,"29%","71%","57%","71%","29%","47%",,"57%","57%","50.7%","52.2%",2.83,1.04,0.96
"Fnatic",11,6,5,34.9,166,184,0.9,0.91,0.1,"0.1%",53.9,0.7,494,"64%","36%","36%","23%","45%","44%","33%","45%","60%","50.4%","51.8%",3.05,1.12,1.41
"G2 Esports",17,11,6,34.2,286,245,1.17,0.91,0.42,"2.2%",54.1,10.6,296,"41%","53%","65%","65%","59%","60%","67%","47%","46%","50.7%","50.0%",3.42,1.34,1.34
"MAD Lions",11,4,7,31,153,175,0.87,0.96,-0.36,"-0.2%",42.1,-5.7,-704,"45%","27%","55%","41%","45%","49%",,"45%","42%","49.3%","49.2%",3.23,1.3,1.12
"Rogue",11,5,6,32.4,157,144,1.09,0.85,-0.08,"-1.0%",52,-6.5,142,"64%","82%","45%","59%","45%","43%",,"55%","62%","49.1%","49.3%",2.89,1.03,1.13
"SK Gaming",3,0,3,30.9,19,47,0.4,0.71,-1.08,"-7.8%",42.4,-42.4,-1011,"67%","0%","0%","17%","100%","50%",,"0%","0%","48.7%","43.9%",3.03,1.06,0.93
