"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"100 Thieves",3,0,3,34.7,22,60,0.37,0.79,-1.58,"-7.0%",31.4,-31.4,-1798,"67%","33%","0%","50%","67%","46%","50%","0%","25%","49.2%","44.4%",3.34,1.29,1.31
"Cloud9",11,5,6,34.1,159,155,1.03,0.84,-0.37,"0.2%",41.6,3.8,-297,"36%","45%","36%","45%","45%","39%","0%","36%","39%","50.2%","49.5%",3.21,1.18,1.21
"Dignitas",3,0,3,31.5,20,43,0.47,0.67,-1.41,"-11.4%",22.1,-22.1,-1832,"33%","67%","0%","33%","0%","46%",,"0%","0%","50.0%","46.6%",2.63,1.18,1.23
"Evil Geniuses",11,5,6,34.3,138,157,0.88,0.78,-0.01,"-4.0%",44.8,0.6,-497,"45%","36%","64%","45%","55%","47%","67%","45%","50%","49.3%","51.9%",3.35,1.35,1.4
"FlyQuest",17,10,7,36,212,193,1.1,0.66,-0.01,"1.9%",55.8,3,365,"59%","47%","47%","56%","53%","60%","40%","71%","64%","50.4%","49.7%",3.11,1.11,1.66
"Golden Guardians",11,5,6,34.1,100,128,0.78,0.61,0.06,"-4.1%",54.6,-9.2,58,"64%","27%","27%","50%","73%","53%","33%","55%","54%","50.2%","46.8%",3.36,1.35,1.6
"Team Liquid",13,7,6,38.6,175,170,1.03,0.69,-0.02,"2.1%",52.2,1.6,229,"31%","77%","54%","63%","38%","46%","25%","54%","50%","49.5%","50.6%",3.36,1.14,1.5
"Team SoloMid",23,14,9,34.7,301,222,1.36,0.66,0.55,"3.5%",54.8,6.1,427,"57%","57%","74%","45%","48%","51%","83%","39%","53%","50.3%","52.0%",3.51,1.34,1.47
